backend_set_requested,requested_backend,actual_backend,device,gpu_name,gpu_capability,architecture,dtype,workload,num_tokens,num_experts,top_k,hidden_size,intermediate_size,quant_mode,used_fallback,gemm_policy,gate_up_gemm_strategy,down_gemm_strategy,stage,stage_status,measurement,samples,p50_us,p90_us,p99_us,cold_start_us,cold_start_scope,warmup,repetitions,timing_method,weights_prepared_outside_timing,torch_version,torch_cuda_version,torch_arch_list,cuda_toolkit_version,cuda_toolkit_version_source,cutlass_version,cutlass_version_source,cutlass_path,wrapper_compiled_architecture,grouped_gemm_provider,grouped_gemm_provider_architecture,pytorch_cxx_version
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,quantization_us,not_applicable,steady_state,100,0.000000000,0.000000000,0.000000000,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,gate_up_gemm_us,measured,steady_state,100,169.247999787,170.723196864,172.234247178,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,swiglu_us,measured,steady_state,100,11.296000332,12.543999590,13.391680093,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,down_gemm_us,measured,steady_state,100,98.735999316,100.268802792,102.488957644,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,combine_us,measured,steady_state,100,11.424000375,12.518400233,13.570559705,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,hotspot,1,64,2,4096,14336,bf16,false,grouped,grouped,grouped,total_us,measured,steady_state,100,447.183996439,453.395196795,499.411198795,1251.808047295,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,uniform,4,64,2,4096,14336,bf16,false,grouped,grouped,grouped,routing_us,measured,steady_state,100,43.296001852,45.027200133,48.694721535,1697.311997414,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,uniform,4,64,2,4096,14336,bf16,false,grouped,grouped,grouped,permutation_us,measured,steady_state,100,35.392001271,37.286400795,38.635519817,1697.311997414,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,uniform,4,64,2,4096,14336,bf16,false,grouped,grouped,grouped,quantization_us,not_applicable,steady_state,100,0.000000000,0.000000000,0.000000000,1697.311997414,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
cutlass_bf16,cutlass_bf16,cutlass_bf16,cuda:0,NVIDIA B300 SXM6 AC,10.3,sm_103a,bfloat16,uniform,4,64,2,4096,14336,bf16,false,grouped,grouped,grouped,gate_up_gemm_us,measured,steady_state,100,493.023991585,494.921597838,497.299521565,1697.311997414,first_forward_after_input_setup,10,100,cuda_events,true,2.12.1+cu130,13.0,"sm_75,sm_80,sm_86,sm_90,sm_100,sm_120",13.0,extension_cudart_header,4.3.1,extension_external_headers,unavailable,sm_103a,at::cuda::detail::bf16bf16_grouped_mm (PyTorch binary),precompiled PyTorch binary; runtime requires get_arch_list() SM103,2.12.1
