operation,backend,m,experts,active_experts,repeated_offsets,k,n,dtype,device,architecture,layout,p50_us,p90_us,p99_us,mean_us,min_us,max_us,tflops_p50
gate_up,matmul,64,64,64,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,2670.7839965820312,2674.982500076294,2679.7660851478577,2670.1830291748047,2661.6640090942383,2681.9519996643066,5.6284542498524335
down,grouped_mm,1,8,1,7,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,96.3200032711029,97.57759794592857,98.78751941025259,96.44543997943401,94.71999853849411,102.30399668216705,1.219274377197135
down,matmul,1,8,1,7,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,36.159999668598175,37.12639957666397,38.09631939977409,36.24960005283356,34.752000123262405,39.712000638246536,3.247801799677197
down,grouped_mm,2,8,2,6,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,100.70399940013885,101.98400169610977,104.54687885940075,100.77376037836075,98.7199991941452,104.8320010304451,2.3323902267944696
down,matmul,2,8,2,6,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,59.007998555898666,60.28800085186958,60.92320173978807,59.06912010163069,56.384000927209854,63.61600011587143,3.980494674421056
down,grouped_mm,4,8,4,4,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,120.14399841427803,121.00159749388695,122.08127826452255,120.1327995955944,118.01599711179733,122.20799922943115,3.9099917948475156
down,matmul,4,8,4,4,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,102.62399911880493,103.55519875884056,104.13376308977605,102.52096012234688,100.54399818181992,104.70400005578995,4.577506743390205
down,grouped_mm,8,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,224.70399737358093,226.31999552249908,229.76191833615306,224.91071999073029,222.3999947309494,233.11999440193176,4.181163250238033
down,matmul,8,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,191.83999300003052,194.05760169029236,199.13759618997574,192.26463958621025,188.89600038528442,202.4639993906021,4.8974360419198435
down,grouped_mm,16,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,208.80000293254852,210.36800742149353,211.977284103632,209.02016058564186,206.52799308300018,219.2319929599762,8.99927282379883
down,matmul,16,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,197.34400510787964,198.66879284381866,200.25696486234665,197.3747207224369,194.84800100326538,200.3519982099533,9.521688743333266
down,grouped_mm,32,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,213.9200046658516,215.26400744915009,216.6723155975342,213.9699201285839,211.19999885559082,219.87199783325195,17.567765061852167
down,matmul,32,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,194.04800236225128,195.2960044145584,196.47231832146647,193.95040035247803,190.33600389957428,198.88000190258026,19.36683881436892
down,grouped_mm,64,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,254.89600002765656,256.06719851493835,256.61440938711166,254.80096012353897,252.3840069770813,257.24801421165466,29.487291943319953
down,matmul,64,8,8,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,190.11199474334717,191.4911985397339,197.44895845651627,190.20992010831833,187.23200261592865,198.33600521087646,39.53560520022382
down,grouped_mm,1,64,1,63,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,96.25600278377533,97.79519960284233,100.45215725898744,96.59871987998486,94.62399780750275,104.032002389431,1.2200850710974618
down,matmul,1,64,1,63,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,35.51999852061272,36.86720132827759,41.2348809093237,35.78528005629778,34.40000116825104,43.10400038957596,3.306320858427056
down,grouped_mm,2,64,2,62,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,99.71199929714203,100.77119991183281,104.15744312107566,99.93567980825901,98.08000177145004,107.07200318574905,2.3555943683372944
down,matmul,2,64,2,62,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,59.087999165058136,60.28800085186958,61.32192119956017,59.200639985501766,57.792000472545624,62.30400130152702,3.975105390586615
down,grouped_mm,4,64,4,60,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,121.08799815177917,122.52800166606903,123.36352035403254,121.1836801469326,119.1679984331131,126.88000500202179,3.8795095729567786
down,matmul,4,64,4,60,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,104.38399761915207,105.85600137710571,106.62911951541903,104.532800167799,102.24000364542007,110.30399799346924,4.500326282903439
down,grouped_mm,8,64,8,56,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,211.87199652194977,213.19679915905,218.8003167510033,211.99648037552834,209.27999913692474,223.58399629592896,4.434394877204388
down,matmul,8,64,8,56,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,194.36800479888916,196.18240296840668,202.58623987436349,195.62720000743866,190.94400107860565,306.5600097179413,4.833738438443699
down,grouped_mm,16,64,16,48,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,395.88800072669983,397.3183870315552,400.4579144716263,395.97567826509476,393.66400241851807,401.43999457359314,4.746413603218037
down,matmul,16,64,16,48,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,379.63199615478516,381.8880021572113,383.68510603904724,379.7974392771721,376.25598907470703,384.19198989868164,4.949657065348798
down,grouped_mm,32,64,32,32,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,717.488020658493,719.6415960788727,722.4972534179688,717.6025605201721,713.4400010108948,722.6240038871765,5.237852446025386
down,matmul,32,64,32,32,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,743.3919906616211,746.5631783008575,747.850227355957,743.6057615280151,738.752007484436,748.8639950752258,5.055336123079942
down,grouped_mm,64,64,64,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,1416.9439673423767,1419.8399782180786,1424.6748876571655,1416.81312084198,1411.2000465393066,1424.9600172042847,5.304509522770606
down,matmul,64,64,64,0,14336,4096,bfloat16,cuda:0,sm_103a,transpose_view_EKN,1488.9119863510132,1493.3056473731995,1496.3203287124634,1488.828798532486,1480.512022972107,1496.351957321167,5.048110860078768
